"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Predators","NSH","15-16",82,3923.87,50.79,52.87,53.77,52.74,53.25,2.14,2.07,29.7,26.47,41.76,35.91,56.15,50.32,2.16,1.9,0.07,3.23,5.85,5.84,0.26,7.2,92.17
"Islanders","NYI","15-16",82,4014.32,51.55,49.29,49.99,49.68,49.03,2.3,2.16,28.46,29.28,40.15,40.16,55.12,55.82,2.36,2.45,0.14,-0.81,-0.01,-0.7,-0.09,8.08,92.62
"Rangers","NYR","15-16",82,4001.13,55.72,48.47,48.47,48.04,47.59,2.43,1.93,27.37,29.11,38.66,41.1,52.03,56.28,2.29,2.52,0.5,-1.73,-2.45,-4.25,-0.23,8.87,93.37
"Senators","OTT","15-16",82,3958.17,50.42,45.85,46.27,46.88,47.42,2.25,2.21,27.07,31.97,37.69,43.77,51.71,58.6,2.13,2.36,0.04,-4.91,-6.08,-6.88,-0.23,8.3,93.09
"Flyers","PHI","15-16",82,3850.5,50.71,48.89,50.03,50.15,48.57,2.04,1.98,29.08,30.39,40.78,40.72,56.99,56.65,2.2,2.33,0.06,-1.32,0.06,0.34,-0.13,7.02,93.48
"Penguins","PIT","15-16",82,3905.73,55.4,53.29,53.07,52.94,55.79,2.44,1.97,32.47,28.47,43.6,38.56,58.24,51.77,2.55,2.02,0.48,4.01,5.04,6.47,0.53,7.53,93.09
"Sharks","S.J","15-16",82,3954.48,52.73,52.99,53.27,51.94,55.49,2.24,2,29.08,25.8,41.04,35.99,55.73,51.57,2.41,1.93,0.23,3.28,5.05,4.17,0.48,7.69,92.23
"Blues","STL","15-16",82,3906.62,53.22,52.57,52.59,52.36,52.14,2.15,1.89,30.62,27.63,41.86,37.74,56.11,51.04,2.31,2.12,0.26,2.99,4.12,5.07,0.19,7.03,93.15
"Lightning","T.B","15-16",82,3824.53,54.29,51.58,51.86,52.6,51.52,2.33,1.96,29.43,27.62,41.59,38.62,56.16,50.61,2.07,1.95,0.37,1.81,2.98,5.55,0.12,7.9,92.91
"Maple Leafs","TOR","15-16",82,3866.85,42.61,48.03,48.96,50.32,49.75,1.85,2.49,28.81,31.18,42.15,43.95,57.32,56.59,2.25,2.28,-0.64,-2.37,-1.8,0.73,-0.02,6.42,92.01
